,country,people,obesity_levels,obesity_level_percentage,date
132,Austria, females ,obese ,>=30.0,2008
133,Austria, females ,overweight ,>=25.0,1999
134,Austria, females ,overweight ,>=25.0,2006
135,Austria, females ,overweight ,>=25.0,2007
136,Austria, females ,overweight ,>=25.0,2008
137,Austria, females ,pre-obese ,25.0-29.99,1999
138,Austria, females ,pre-obese ,25.0-29.99,2006
139,Austria, females ,pre-obese ,25.0-29.99,2007
140,Austria, females ,pre-obese ,25.0-29.99,2008
141,Austria, females ,underweight ,<18.5,1999
142,Austria, females ,underweight ,<18.5,2006
143,Austria, females ,underweight ,<18.5,2007
144,Austria, females ,underweight ,<18.5,2008
145,Austria, males ,normal ,18.5-24.99,1999
146,Austria, males ,normal ,18.5-24.99,2006
147,Austria, males ,normal ,18.5-24.99,2007
148,Austria, males ,normal ,18.5-24.99,2008
149,Austria, males ,obese ,>=30.0,1999
150,Austria, males ,obese ,>=30.0,2006
151,Austria, males ,obese ,>=30.0,2007
152,Austria, males ,obese ,>=30.0,2008
153,Austria, males ,overweight ,>=25.0,1999
154,Austria, males ,overweight ,>=25.0,2006
155,Austria, males ,overweight ,>=25.0,2007
156,Austria, males ,overweight ,>=25.0,2008
157,Austria, males ,pre-obese ,25.0-29.99,1999
158,Austria, males ,pre-obese ,25.0-29.99,2006
159,Austria, males ,pre-obese ,25.0-29.99,2007
160,Austria, males ,pre-obese ,25.0-29.99,2008
161,Austria, males ,underweight ,<18.5,1999
162,Austria, males ,underweight ,<18.5,2006
163,Austria, males ,underweight ,<18.5,2007
164,Austria, males ,underweight ,<18.5,2008
165,Azerbaijan, females ,moderate and severe thinness ,<=17,2006
166,Azerbaijan, females ,normal ,18.5-24.99,2006
167,Azerbaijan, females ,obese ,>=30.0,2001
168,Azerbaijan, females ,obese ,>=30.0,2006
169,Azerbaijan, females ,overweight ,>=25.0,2001
170,Azerbaijan, females ,overweight ,>=25.0,2006
171,Azerbaijan, females ,pre-obese ,25.0-29.99,2006
172,Azerbaijan, females ,underweight ,<18.5,2006
173,Azerbaijan, males ,moderate and severe thinness ,<=17,2006
174,Azerbaijan, males ,normal ,18.5-24.99,2006
175,Azerbaijan, males ,obese ,>=30.0,2006
176,Azerbaijan, males ,overweight ,>=25.0,2006
177,Azerbaijan, males ,pre-obese ,25.0-29.99,2006
178,Azerbaijan, males ,underweight ,<18.5,2006
179,Bahrain, adults ,obese ,>=30.0,1999
180,Bahrain, adults ,overweight ,>=25.0,1999
181,Bahrain, adults ,pre-obese ,25.0-29.99,1999
182,Bahrain, females ,obese ,>=30.0,1999
183,Bahrain, females ,overweight ,>=25.0,1999
184,Bahrain, females ,pre-obese ,25.0-29.99,1999
185,Bahrain, males ,obese ,>=30.0,1999
186,Bahrain, males ,overweight ,>=25.0,1999
187,Bahrain, males ,pre-obese ,25.0-29.99,1999
188,Bangladesh, females ,moderate and severe thinness ,<=17,2007
189,Bangladesh, females ,normal ,18.5-24.99,2003
190,Bangladesh, females ,normal ,18.5-24.99,2007
191,Bangladesh, females ,obese ,>=30.0,1999
192,Bangladesh, females ,obese ,>=30.0,2
193,Bangladesh, females ,obese ,>=30.0,2007
194,Bangladesh, females ,overweight ,>=25.0,1999
195,Bangladesh, females ,overweight ,>=25.0,2
196,Bangladesh, females ,overweight ,>=25.0,2003
197,Bangladesh, females ,overweight ,>=25.0,2007
198,Bangladesh, females ,pre-obese ,25.0-29.99,2007
199,Bangladesh, females ,underweight ,<18.5,1999
200,Bangladesh, females ,underweight ,<18.5,2
201,Bangladesh, females ,underweight ,<18.5,2003
202,Bangladesh, females ,underweight ,<18.5,2005
203,Bangladesh, females ,underweight ,<18.5,2007
204,Barbados, adults ,overweight ,>=25.0,2
205,Barbados, adults ,overweight ,>=25.0,2001
206,Barbados, adults ,underweight ,<18.5,2
207,Barbados, adults ,underweight ,<18.5,2001
208,Barbados, females ,overweight ,>=25.0,2
209,Barbados, females ,overweight ,>=25.0,2001
210,Barbados, females ,underweight ,<18.5,2
211,Barbados, females ,underweight ,<18.5,2001
212,Barbados, males ,overweight ,>=25.0,2
213,Barbados, males ,overweight ,>=25.0,2001
214,Barbados, males ,underweight ,<18.5,2
215,Barbados, males ,underweight ,<18.5,2001
216,Belgium, adults ,normal ,18.5-24.99,2004
217,Belgium, adults ,obese ,>=30.0,2001
218,Belgium, adults ,obese ,>=30.0,2004
219,Belgium, adults ,overweight ,>=25.0,2004
220,Belgium, adults ,pre-obese ,25.0-29.99,2004
221,Belgium, adults ,underweight ,<18.5,2004
222,Belgium, females ,normal ,18.5-24.99,2004
223,Belgium, females ,obese ,>=30.0,2001
224,Belgium, females ,obese ,>=30.0,2004
225,Belgium, females ,overweight ,>=25.0,2004
226,Belgium, females ,pre-obese ,25.0-29.99,2004
227,Belgium, females ,underweight ,<18.5,2004
228,Belgium, males ,normal ,18.5-24.99,2004
229,Belgium, males ,obese ,>=30.0,2001
230,Belgium, males ,obese ,>=30.0,2004
231,Belgium, males ,overweight ,>=25.0,2004
232,Belgium, males ,pre-obese ,25.0-29.99,2004
233,Belgium, males ,underweight ,<18.5,2004
234,Benin, females ,moderate and severe thinness ,<=17,2006
235,Benin, females ,normal ,18.5-24.99,2001
236,Benin, females ,normal ,18.5-24.99,2006
237,Benin, females ,obese ,>=30.0,2001
238,Benin, females ,obese ,>=30.0,2006
239,Benin, females ,overweight ,>=25.0,2001
240,Benin, females ,overweight ,>=25.0,2006
241,Benin, females ,pre-obese ,25.0-29.99,2001
242,Benin, females ,pre-obese ,25.0-29.99,2006
243,Benin, females ,underweight ,<18.5,2001
244,Benin, females ,underweight ,<18.5,2006
245,Bolivia (Plurinational State of), females ,moderate and severe thinness ,<=17,2008
246,Bolivia (Plurinational State of), females ,normal ,18.5-24.99,2003
247,Bolivia (Plurinational State of), females ,normal ,18.5-24.99,2008
248,Bolivia (Plurinational State of), females ,obese ,>=30.0,2003
249,Bolivia (Plurinational State of), females ,obese ,>=30.0,2008
250,Bolivia (Plurinational State of), females ,overweight ,>=25.0,2003
251,Bolivia (Plurinational State of), females ,overweight ,>=25.0,2008
252,Bolivia (Plurinational State of), females ,pre-obese ,25.0-29.99,2003
253,Bolivia (Plurinational State of), females ,pre-obese ,25.0-29.99,2008
254,Bolivia (Plurinational State of), females ,underweight ,<18.5,2003
255,Bolivia (Plurinational State of), females ,underweight ,<18.5,2008
256,Bosnia and Herzegovina, adults ,obese ,>=30.0,2002
257,Bosnia and Herzegovina, adults ,overweight ,>=25.0,2002
258,Bosnia and Herzegovina, females ,obese ,>=30.0,2002
259,Bosnia and Herzegovina, females ,overweight ,>=25.0,2002
260,Bosnia and Herzegovina, males ,obese ,>=30.0,2002
261,Bosnia and Herzegovina, males ,overweight ,>=25.0,2002
262,Brazil, adults ,normal ,18.5-24.99,2002
263,Brazil, adults ,normal ,18.5-24.99,2003
264,Brazil, adults ,obese ,>=30.0,2002
265,Brazil, adults ,obese ,>=30.0,2003
266,Brazil, adults ,overweight ,>=25.0,2002
267,Brazil, adults ,overweight ,>=25.0,2003
268,Brazil, adults ,pre-obese ,25.0-29.99,2002
269,Brazil, adults ,pre-obese ,25.0-29.99,2003
270,Brazil, adults ,underweight ,<18.5,2002
271,Brazil, adults ,underweight ,<18.5,2003
272,Brazil, females ,normal ,18.5-24.99,2002
273,Brazil, females ,normal ,18.5-24.99,2003
274,Brazil, females ,obese ,>=30.0,2002
275,Brazil, females ,obese ,>=30.0,2003
276,Brazil, females ,obese ,>=30.0,2006
277,Brazil, females ,obese ,>=30.0,2007
278,Brazil, females ,overweight ,>=25.0,2002
279,Brazil, females ,overweight ,>=25.0,2003
280,Brazil, females ,overweight ,>=25.0,2006
281,Brazil, females ,overweight ,>=25.0,2007
282,Brazil, females ,pre-obese ,25.0-29.99,2002
283,Brazil, females ,pre-obese ,25.0-29.99,2003
284,Brazil, females ,underweight ,<18.5,2002
285,Brazil, females ,underweight ,<18.5,2003
286,Brazil, females ,underweight ,<18.5,2006
287,Brazil, females ,underweight ,<18.5,2007
288,Brazil, males ,normal ,18.5-24.99,2002
289,Brazil, males ,normal ,18.5-24.99,2003
290,Brazil, males ,obese ,>=30.0,2002
291,Brazil, males ,obese ,>=30.0,2003
292,Brazil, males ,overweight ,>=25.0,2002
293,Brazil, males ,overweight ,>=25.0,2003
294,Brazil, males ,pre-obese ,25.0-29.99,2002
295,Brazil, males ,pre-obese ,25.0-29.99,2003
296,Brazil, males ,underweight ,<18.5,2002
297,Brazil, males ,underweight ,<18.5,2003
298,Bulgaria, adults ,normal ,18.5-24.99,2001
299,Bulgaria, adults ,obese ,>=30.0,2001
300,Bulgaria, adults ,overweight ,>=25.0,2001
301,Bulgaria, adults ,pre-obese ,25.0-29.99,2001
302,Bulgaria, adults ,underweight ,<18.5,2001
303,Bulgaria, females ,normal ,18.5-24.99,2001
304,Bulgaria, females ,obese ,>=30.0,2001
305,Bulgaria, females ,obese ,>=30.0,2004
306,Bulgaria, females ,overweight ,>=25.0,2001
307,Bulgaria, females ,overweight ,>=25.0,2004
308,Bulgaria, females ,pre-obese ,25.0-29.99,2001
309,Bulgaria, females ,pre-obese ,25.0-29.99,2004
310,Bulgaria, females ,underweight ,<18.5,2001
311,Bulgaria, males ,normal ,18.5-24.99,2001
312,Bulgaria, males ,obese ,>=30.0,2001
313,Bulgaria, males ,obese ,>=30.0,2004
314,Bulgaria, males ,overweight ,>=25.0,2001
315,Bulgaria, males ,overweight ,>=25.0,2004
316,Bulgaria, males ,pre-obese ,25.0-29.99,2001
317,Bulgaria, males ,pre-obese ,25.0-29.99,2004
318,Bulgaria, males ,underweight ,<18.5,2001
319,Burkina Faso, females ,moderate and severe thinness ,<=17,2003
320,Burkina Faso, females ,normal ,18.5-24.99,2003
321,Burkina Faso, females ,obese ,>=30.0,1999
322,Burkina Faso, females ,obese ,>=30.0,2003
323,Burkina Faso, females ,overweight ,>=25.0,1999
324,Burkina Faso, females ,overweight ,>=25.0,2003
325,Burkina Faso, females ,pre-obese ,25.0-29.99,2003
326,Burkina Faso, females ,underweight ,<18.5,2003
327,Cambodia, females ,moderate and severe thinness ,<=17,2005
328,Cambodia, females ,moderate and severe thinness ,<=17,2006
329,Cambodia, females ,normal ,18.5-24.99,2005
330,Cambodia, females ,normal ,18.5-24.99,2006
331,Cambodia, females ,obese ,>=30.0,2
332,Cambodia, females ,obese ,>=30.0,2005
333,Cambodia, females ,obese ,>=30.0,2006
334,Cambodia, females ,overweight ,>=25.0,2
335,Cambodia, females ,overweight ,>=25.0,2005
336,Cambodia, females ,overweight ,>=25.0,2006
337,Cambodia, females ,pre-obese ,25.0-29.99,2005
338,Cambodia, females ,pre-obese ,25.0-29.99,2006
339,Cambodia, females ,underweight ,<18.5,2005
340,Cambodia, females ,underweight ,<18.5,2006
341,Cameroon, females ,moderate and severe thinness ,<=17,2004
342,Cameroon, females ,normal ,18.5-24.99,2004
343,Cameroon, females ,obese ,>=30.0,2004
344,Cameroon, females ,overweight ,>=25.0,2004
345,Cameroon, females ,pre-obese ,25.0-29.99,2004
346,Cameroon, females ,underweight ,<18.5,2004
347,Canada, adults ,normal ,18.5-24.99,2
348,Canada, adults ,normal ,18.5-24.99,2001
349,Canada, adults ,normal ,18.5-24.99,2003
350,Canada, adults ,obese ,>=30.0,2
351,Canada, adults ,obese ,>=30.0,2001
352,Canada, adults ,obese ,>=30.0,2002
353,Canada, adults ,obese ,>=30.0,2003
354,Canada, adults ,obese ,>=30.0,2004
355,Canada, adults ,overweight ,>=25.0,2
356,Canada, adults ,overweight ,>=25.0,2001
357,Canada, adults ,overweight ,>=25.0,2002
358,Canada, adults ,overweight ,>=25.0,2003
359,Canada, adults ,overweight ,>=25.0,2004
360,Canada, adults ,pre-obese ,25.0-29.99,2
361,Canada, adults ,pre-obese ,25.0-29.99,2001
362,Canada, adults ,pre-obese ,25.0-29.99,2003
363,Canada, adults ,pre-obese ,25.0-29.99,2004
364,Canada, adults ,underweight ,<18.5,2
365,Canada, adults ,underweight ,<18.5,2001
366,Canada, adults ,underweight ,<18.5,2003
367,Canada, females ,normal ,18.5-24.99,2
368,Canada, females ,normal ,18.5-24.99,2001
369,Canada, females ,normal ,18.5-24.99,2003
370,Canada, females ,obese ,>=30.0,1999
371,Canada, females ,obese ,>=30.0,2
372,Canada, females ,obese ,>=30.0,2001
373,Canada, females ,obese ,>=30.0,2002
374,Canada, females ,obese ,>=30.0,2003
375,Canada, females ,obese ,>=30.0,2004
376,Canada, females ,overweight ,>=25.0,2
377,Canada, females ,overweight ,>=25.0,2001
378,Canada, females ,overweight ,>=25.0,2002
379,Canada, females ,overweight ,>=25.0,2003
380,Canada, females ,overweight ,>=25.0,2004
381,Canada, females ,pre-obese ,25.0-29.99,2
382,Canada, females ,pre-obese ,25.0-29.99,2001
383,Canada, females ,pre-obese ,25.0-29.99,2003
384,Canada, females ,pre-obese ,25.0-29.99,2004
385,Canada, females ,underweight ,<18.5,2
386,Canada, females ,underweight ,<18.5,2001
387,Canada, females ,underweight ,<18.5,2003
388,Canada, males ,normal ,18.5-24.99,2
389,Canada, males ,normal ,18.5-24.99,2001
390,Canada, males ,normal ,18.5-24.99,2003
391,Canada, males ,obese ,>=30.0,1999
392,Canada, males ,obese ,>=30.0,2
393,Canada, males ,obese ,>=30.0,2001
394,Canada, males ,obese ,>=30.0,2002
395,Canada, males ,obese ,>=30.0,2003
396,Canada, males ,obese ,>=30.0,2004
397,Canada, males ,overweight ,>=25.0,2
398,Canada, males ,overweight ,>=25.0,2001
399,Canada, males ,overweight ,>=25.0,2002
400,Canada, males ,overweight ,>=25.0,2003
401,Canada, males ,overweight ,>=25.0,2004
402,Canada, males ,pre-obese ,25.0-29.99,2
403,Canada, males ,pre-obese ,25.0-29.99,2001
404,Canada, males ,pre-obese ,25.0-29.99,2003
405,Canada, males ,pre-obese ,25.0-29.99,2004
406,Canada, males ,underweight ,<18.5,2
407,Canada, males ,underweight ,<18.5,2001
408,Canada, males ,underweight ,<18.5,2003
409,Chad, females ,moderate and severe thinness ,<=17,2004
410,Chad, females ,normal ,18.5-24.99,2004
411,Chad, females ,obese ,>=30.0,2004
412,Chad, females ,overweight ,>=25.0,2004
413,Chad, females ,underweight ,<18.5,2004
414,Chile, adults ,obese ,>=30.0,2003
415,Chile, adults ,overweight ,>=25.0,2003
416,Chile, adults ,pre-obese ,25.0-29.99,2003
417,Chile, adults ,underweight ,<18.5,2003
418,Chile, females ,obese ,>=30.0,2003
419,Chile, females ,overweight ,>=25.0,2003
420,Chile, females ,pre-obese ,25.0-29.99,2003
421,Chile, females ,underweight ,<18.5,2003
422,Chile, males ,obese ,>=30.0,2003
423,Chile, males ,overweight ,>=25.0,2003
424,Chile, males ,pre-obese ,25.0-29.99,2003
425,Chile, males ,underweight ,<18.5,2003
426,China, adults ,obese ,>=30.0,2002
427,China, adults ,overweight ,>=25.0,2
428,China, adults ,overweight ,>=25.0,2001
429,China, adults ,overweight ,>=25.0,2002
430,China, adults ,pre-obese ,25.0-29.99,2002
431,China, females ,obese ,>=30.0,2002
432,China, females ,overweight ,>=25.0,2002
433,China, females ,pre-obese ,25.0-29.99,2002
434,China, males ,normal ,18.5-24.99,1999
435,China, males ,normal ,18.5-24.99,2
436,China, males ,normal ,18.5-24.99,2001
437,China, males ,normal ,18.5-24.99,2002
438,China, males ,obese ,>=30.0,2002
439,China, males ,overweight ,>=25.0,1999
440,China, males ,overweight ,>=25.0,2
441,China, males ,overweight ,>=25.0,2001
442,China, males ,overweight ,>=25.0,2002
443,China, males ,pre-obese ,25.0-29.99,2002
444,China, males ,underweight ,<18.5,1999
445,China, males ,underweight ,<18.5,2
446,China, males ,underweight ,<18.5,2001
447,China, males ,underweight ,<18.5,2002
448,Colombia, adults ,normal ,18.5-24.99,2004
449,Colombia, adults ,normal ,18.5-24.99,2005
450,Colombia, adults ,obese ,>=30.0,2004
451,Colombia, adults ,obese ,>=30.0,2005
